barangay,municipality,psgc_code
Adcadarao,Ajuy,0603001001
Agbobolo,Ajuy,0603001002
Badiangan,Ajuy,0603001003
Barrido,Ajuy,0603001004
Bato Biasong,Ajuy,0603001005
Bay-ang,Ajuy,0603001006
Bucana Bunglas,Ajuy,0603001007
Central,Ajuy,0603001008
Culasi,Ajuy,0603001009
Lanjagan,Ajuy,0603001010
Luca,Ajuy,0603001011
Malayu-an,Ajuy,0603001012
Mangorocoro,Ajuy,0603001013
Nasidman,Ajuy,0603001014
Pantalan Nabaye,Ajuy,0603001015
Pantalan Navarro,Ajuy,0603001016
Pedada,Ajuy,0603001017
Pili,Ajuy,0603001018
Pinantan Diel,Ajuy,0603001019
Pinantan Elizalde,Ajuy,0603001020
Pinay Espinosa,Ajuy,0603001021
Poblacion,Ajuy,0603001022
Progreso,Ajuy,0603001023
Puente Bunglas,Ajuy,0603001024
Punta Buri,Ajuy,0603001025
Rojas,Ajuy,0603001026
San Antonio,Ajuy,0603001027
Santo Rosario,Ajuy,0603001029
Silagon,Ajuy,0603001028
Tagubanhan,Ajuy,0603001030
Taguhangin,Ajuy,0603001031
Tanduyan,Ajuy,0603001032
Tipacla,Ajuy,0603001033
Tubogan,Ajuy,0603001034
Abang-abang,Alimodian,0603002001
Agsing,Alimodian,0603002002
Atabay,Alimodian,0603002003
Ba-ong,Alimodian,0603002004
Bagsakan,Alimodian,0603002006
Baguingin-Lanot,Alimodian,0603002005
Bagumbayan-Ilajas,Alimodian,0603002007
Balabago,Alimodian,0603002008
Ban-ag,Alimodian,0603002009
Bancal,Alimodian,0603002010
Binalud,Alimodian,0603002011
Bugang,Alimodian,0603002012
Buhay,Alimodian,0603002014
Bulod,Alimodian,0603002015
Cabacanan Proper,Alimodian,0603002017
Cabacanan Rizal,Alimodian,0603002018
Cagay,Alimodian,0603002019
Coline,Alimodian,0603002020
Coline-Dalag,Alimodian,0603002021
Cunsad,Alimodian,0603002022
Cuyad,Alimodian,0603002023
Dalid,Alimodian,0603002024
Dao,Alimodian,0603002025
Gines,Alimodian,0603002026
Ginomoy,Alimodian,0603002027
Ingwan,Alimodian,0603002028
Laylayan,Alimodian,0603002029
Lico,Alimodian,0603002030
Luan-luan,Alimodian,0603002031
Malamboy-Bondolan,Alimodian,0603002033
Malamhay,Alimodian,0603002032
Mambawi,Alimodian,0603002034
Manasa,Alimodian,0603002035
Manduyog,Alimodian,0603002036
Pajo,Alimodian,0603002037
Pianda-an Norte,Alimodian,0603002038
Pianda-an Sur,Alimodian,0603002039
Poblacion,Alimodian,0603002054
Punong,Alimodian,0603002041
Quinaspan,Alimodian,0603002042
Sinamay,Alimodian,0603002043
Sulong,Alimodian,0603002044
Taban-Manguining,Alimodian,0603002045
Tabug,Alimodian,0603002046
Tarug,Alimodian,0603002047
Tugaslon,Alimodian,0603002048
Ubodan,Alimodian,0603002049
Ugbo,Alimodian,0603002050
Ulay-Bugang,Alimodian,0603002051
Ulay-Hinablan,Alimodian,0603002052
Umingan,Alimodian,0603002053
Agbatuan,Anilao,0603003001
Badiang,Anilao,0603003002
Balabag,Anilao,0603003003
Balunos,Anilao,0603003004
Cag-an,Anilao,0603003005
Camiros,Anilao,0603003006
Dangula-an,Anilao,0603003008
Guipis,Anilao,0603003009
Manganese,Anilao,0603003010
Medina,Anilao,0603003011
Mostro,Anilao,0603003012
Palaypay,Anilao,0603003013
Pantalan,Anilao,0603003014
Poblacion,Anilao,0603003015
Sambag Culob,Anilao,0603003007
San Carlos,Anilao,0603003016
San Juan Crisostomo,Anilao,0603003017
Santa Rita,Anilao,0603003018
Santo Rosario,Anilao,0603003019
Serallo,Anilao,0603003020
Vista Alegre,Anilao,0603003021
Agusipan,Badiangan,0603004001
Astorga,Badiangan,0603004002
Bingauan,Badiangan,0603004031
Bita-oyan,Badiangan,0603004003
Botong,Badiangan,0603004004
Budiaue,Badiangan,0603004005
Cabanga-an,Badiangan,0603004006
Cabayogan,Badiangan,0603004007
Calansanan,Badiangan,0603004008
Catubig,Badiangan,0603004009
Guinawahan,Badiangan,0603004010
Ilongbukid,Badiangan,0603004011
Indorohan,Badiangan,0603004012
Iniligan,Badiangan,0603004013
Latawan,Badiangan,0603004014
Linayuan,Badiangan,0603004015
Mainguit,Badiangan,0603004016
Malublub,Badiangan,0603004017
Manaolan,Badiangan,0603004018
Mapili Grande,Badiangan,0603004019
Mapili Sanjo,Badiangan,0603004020
Odiongan,Badiangan,0603004021
Poblacion,Badiangan,0603004022
San Julian,Badiangan,0603004023
Sariri,Badiangan,0603004024
Sianon,Badiangan,0603004025
Sinuagan,Badiangan,0603004026
Talaba,Badiangan,0603004027
Tamocol,Badiangan,0603004028
Teneclan,Badiangan,0603004029
Tina,Badiangan,0603004030
Aranjuez,Balasan,0603005001
Bacolod,Balasan,0603005002
Balanti-an,Balasan,0603005003
Batuan,Balasan,0603005004
Cabalic,Balasan,0603005005
Camambugan,Balasan,0603005006
Dolores,Balasan,0603005007
Gimamanay,Balasan,0603005008
Ipil,Balasan,0603005009
Kinalkalan,Balasan,0603005010
Lawis,Balasan,0603005011
Malapoc,Balasan,0603005012
Mamhut Norte,Balasan,0603005013
Mamhut Sur,Balasan,0603005014
Maya,Balasan,0603005015
Pani-an,Balasan,0603005016
Poblacion Norte,Balasan,0603005017
Poblacion Sur,Balasan,0603005018
Quiasan,Balasan,0603005019
Salong,Balasan,0603005020
Salvacion,Balasan,0603005021
Tingui-an,Balasan,0603005022
Zaragosa,Balasan,0603005023
Alacaygan,Banate,0603006003
Bariga,Banate,0603006005
Belen,Banate,0603006006
Bobon,Banate,0603006007
Bularan,Banate,0603006008
Carmelo,Banate,0603006010
De La Paz,Banate,0603006012
Dugwakan,Banate,0603006013
Fuentes*,Banate,0603006029
Juanico,Banate,0603006018
Libertad,Banate,0603006020
Magdalo,Banate,0603006022
Managopaya,Banate,0603006023
Merced,Banate,0603006024
Poblacion,Banate,0603006025
San Salvador,Banate,0603006026
Talokgangan,Banate,0603006027
Zona Sur,Banate,0603006028
Acuit,Barotac Nuevo,0603007001
Agcuyawan Calsada,Barotac Nuevo,0603007002
Agcuyawan Pulo,Barotac Nuevo,0603007003
Bagongbong,Barotac Nuevo,0603007004
Baras,Barotac Nuevo,0603007005
Bungca,Barotac Nuevo,0603007006
Cabilauan,Barotac Nuevo,0603007007
Cruz,Barotac Nuevo,0603007008
Guintas,Barotac Nuevo,0603007009
Igbong,Barotac Nuevo,0603007010
Ilaud Poblacion,Barotac Nuevo,0603007011
Ilaya Poblacion,Barotac Nuevo,0603007012
Jalaud,Barotac Nuevo,0603007013
Lagubang,Barotac Nuevo,0603007014
Lanas,Barotac Nuevo,0603007015
Lico-an,Barotac Nuevo,0603007016
Linao,Barotac Nuevo,0603007017
Monpon,Barotac Nuevo,0603007018
Palaciawan,Barotac Nuevo,0603007019
Patag,Barotac Nuevo,0603007020
Salihid,Barotac Nuevo,0603007021
So-ol,Barotac Nuevo,0603007022
Sohoton,Barotac Nuevo,0603007023
Tabuc-Suba,Barotac Nuevo,0603007024
Tabucan,Barotac Nuevo,0603007025
Talisay,Barotac Nuevo,0603007026
Tinorian,Barotac Nuevo,0603007027
Tiwi,Barotac Nuevo,0603007028
Tubungan,Barotac Nuevo,0603007029
Bugnay,Barotac Viejo,0603008002
California,Barotac Viejo,0603008004
De la Peña,Barotac Viejo,0603008006
Del Pilar,Barotac Viejo,0603008005
General Luna,Barotac Viejo,0603008007
La Fortuna,Barotac Viejo,0603008009
Lipata,Barotac Viejo,0603008010
Natividad,Barotac Viejo,0603008011
Nueva Invencion,Barotac Viejo,0603008012
Nueva Sevilla,Barotac Viejo,0603008013
Poblacion,Barotac Viejo,0603008014
Puerto Princesa,Barotac Viejo,0603008016
Rizal,Barotac Viejo,0603008017
San Antonio,Barotac Viejo,0603008019
San Fernando,Barotac Viejo,0603008021
San Francisco,Barotac Viejo,0603008023
San Geronimo,Barotac Viejo,0603008024
San Juan,Barotac Viejo,0603008025
San Lucas,Barotac Viejo,0603008026
San Miguel,Barotac Viejo,0603008027
San Roque,Barotac Viejo,0603008029
Santiago,Barotac Viejo,0603008030
Santo Domingo,Barotac Viejo,0603008031
Santo Tomas,Barotac Viejo,0603008032
Ugasan,Barotac Viejo,0603008033
Vista Alegre,Barotac Viejo,0603008034
Alapasco,Batad,0603009001
Alinsolong,Batad,0603009002
Banban,Batad,0603009003
Batad Viejo,Batad,0603009004
Binon-an,Batad,0603009005
Bolhog,Batad,0603009006
Bulak Norte,Batad,0603009007
Bulak Sur,Batad,0603009008
Cabagohan,Batad,0603009009
Calangag,Batad,0603009011
Caw-i,Batad,0603009012
Drancalan,Batad,0603009013
Embarcadero,Batad,0603009014
Hamod,Batad,0603009015
Malico,Batad,0603009016
Nangka,Batad,0603009017
Pasayan,Batad,0603009018
Poblacion,Batad,0603009019
Quiazan Florete,Batad,0603009020
Quiazan Lopez,Batad,0603009021
Salong,Batad,0603009022
Santa Ana,Batad,0603009023
Tanao,Batad,0603009024
Tapi-an,Batad,0603009025
Agba-o,Bingawan,0603010001
Alabidhan,Bingawan,0603010002
Bulabog,Bingawan,0603010003
Cairohan,Bingawan,0603010004
Guinhulacan,Bingawan,0603010005
Inamyungan,Bingawan,0603010006
Malitbog Ilawod,Bingawan,0603010007
Malitbog Ilaya,Bingawan,0603010008
Ngingi-an,Bingawan,0603010009
Poblacion,Bingawan,0603010010
Quinangyana,Bingawan,0603010011
Quinar-Upan,Bingawan,0603010012
Tapacon,Bingawan,0603010013
Tubod,Bingawan,0603010014
Acao,Cabatuan,0603012001
Amerang,Cabatuan,0603012002
Amurao,Cabatuan,0603012003
Anuang,Cabatuan,0603012004
Ayaman,Cabatuan,0603012005
Ayong,Cabatuan,0603012006
Bacan,Cabatuan,0603012007
Balabag,Cabatuan,0603012008
Baluyan,Cabatuan,0603012009
Banguit,Cabatuan,0603012010
Bulay,Cabatuan,0603012011
Cadoldolan,Cabatuan,0603012012
Cagban,Cabatuan,0603012013
Calawagan,Cabatuan,0603012014
Calayo,Cabatuan,0603012015
Duyanduyan,Cabatuan,0603012016
Gaub,Cabatuan,0603012017
Gines Interior,Cabatuan,0603012018
Gines Patag,Cabatuan,0603012019
Guibuangan Tigbauan,Cabatuan,0603012020
Inabasan,Cabatuan,0603012021
Inaca,Cabatuan,0603012022
Inaladan,Cabatuan,0603012023
Ingas,Cabatuan,0603012024
Ito Norte,Cabatuan,0603012025
Ito Sur,Cabatuan,0603012026
Janipaan Central,Cabatuan,0603012027
Janipaan Este,Cabatuan,0603012028
Janipaan Oeste,Cabatuan,0603012029
Janipaan Olo,Cabatuan,0603012030
Jelicuon Lusaya,Cabatuan,0603012031
Jelicuon Montinola,Cabatuan,0603012032
Lag-an,Cabatuan,0603012033
Leong,Cabatuan,0603012034
Lutac,Cabatuan,0603012035
Manguna,Cabatuan,0603012036
Maraguit,Cabatuan,0603012037
Morubuan,Cabatuan,0603012038
Pacatin,Cabatuan,0603012039
Pagotpot,Cabatuan,0603012040
Pamul-Ogan,Cabatuan,0603012041
Pamuringao Garrido,Cabatuan,0603012043
Pamuringao Proper,Cabatuan,0603012042
Pungtod,Cabatuan,0603012055
Puyas,Cabatuan,0603012056
Salacay,Cabatuan,0603012057
Sulanga,Cabatuan,0603012059
Tabucan,Cabatuan,0603012060
Tacdangan,Cabatuan,0603012061
Talanghauan,Cabatuan,0603012062
Tigbauan Road,Cabatuan,0603012063
Tinio-an,Cabatuan,0603012064
Tiring,Cabatuan,0603012065
Tupol Central,Cabatuan,0603012066
Tupol Este,Cabatuan,0603012067
Tupol Oeste,Cabatuan,0603012068
Tuy-an,Cabatuan,0603012069
Zone I Pob.,Cabatuan,0603012044
Zone II Pob.,Cabatuan,0603012047
Zone III Pob.,Cabatuan,0603012048
Zone IV Pob.,Cabatuan,0603012049
Zone IX Pob.,Cabatuan,0603012054
Zone V Pob.,Cabatuan,0603012050
Zone VI Pob.,Cabatuan,0603012051
Zone VII Pob.,Cabatuan,0603012052
Zone VIII Pob.,Cabatuan,0603012053
Zone X Pob.,Cabatuan,0603012045
Zone XI Pob.,Cabatuan,0603012046
Agcalaga,Calinog,0603013002
Aglibacao,Calinog,0603013003
Aglonok,Calinog,0603013004
Alibunan,Calinog,0603013006
Badlan Grande,Calinog,0603013007
Badlan Pequeño,Calinog,0603013008
Badu,Calinog,0603013009
Baje San Julian,Calinog,0603013062
Balaticon,Calinog,0603013011
Banban Grande,Calinog,0603013012
Banban Pequeño,Calinog,0603013013
Barrio Calinog,Calinog,0603013022
Binolosan Grande,Calinog,0603013015
Binolosan Pequeño,Calinog,0603013016
Cabagiao,Calinog,0603013017
Cabugao,Calinog,0603013019
Cahigon,Calinog,0603013020
Camalongo,Calinog,0603013023
Canabajan,Calinog,0603013024
Caratagan,Calinog,0603013025
Carvasana,Calinog,0603013026
Dalid,Calinog,0603013027
Datagan,Calinog,0603013028
Gama Grande,Calinog,0603013030
Gama Pequeño,Calinog,0603013031
Garangan,Calinog,0603013032
Guinbonyugan,Calinog,0603013034
Guiso,Calinog,0603013036
Hilwan,Calinog,0603013037
Impalidan,Calinog,0603013038
Ipil,Calinog,0603013040
Jamin-ay,Calinog,0603013041
Lampaya,Calinog,0603013042
Libot,Calinog,0603013043
Lonoy,Calinog,0603013044
Malag-it,Calinog,0603013073
Malaguinabot,Calinog,0603013045
Malapawe,Calinog,0603013046
Malitbog Centro,Calinog,0603013047
Mambiranan,Calinog,0603013049
Manaripay,Calinog,0603013050
Marandig,Calinog,0603013051
Masaroy,Calinog,0603013052
Maspasan,Calinog,0603013053
Nalbugan,Calinog,0603013054
Owak,Calinog,0603013056
Poblacion Centro,Calinog,0603013057
Poblacion Delgado,Calinog,0603013058
Poblacion Ilaya,Calinog,0603013060
Poblacion Rizal Ilaud,Calinog,0603013059
San Nicolas,Calinog,0603013063
Simsiman,Calinog,0603013064
Supanga,Calinog,0603013074
Tabucan,Calinog,0603013065
Tahing,Calinog,0603013066
Tibiao,Calinog,0603013068
Tigbayog,Calinog,0603013069
Toyungan,Calinog,0603013071
Ulayan,Calinog,0603013072
Abong,Carles,0603014001
Alipata,Carles,0603014002
Asluman,Carles,0603014003
Bancal,Carles,0603014004
Barangcalan,Carles,0603014005
Barosbos,Carles,0603014006
Binuluangan,Carles,0603014009
Bito-on,Carles,0603014010
Bolo,Carles,0603014011
Buaya,Carles,0603014012
Buenavista,Carles,0603014013
Cabilao Grande,Carles,0603014016
Cabilao Pequeño,Carles,0603014017
Cabuguana,Carles,0603014018
Cawayan,Carles,0603014019
Dayhagan,Carles,0603014020
Gabi,Carles,0603014021
Granada,Carles,0603014022
Guinticgan,Carles,0603014023
Isla De Cana,Carles,0603014014
Lantangan,Carles,0603014024
Manlot,Carles,0603014025
Nalumsan,Carles,0603014026
Pantalan,Carles,0603014027
Poblacion,Carles,0603014028
Punta,Carles,0603014029
Punta Batuanan,Carles,0603014007
San Fernando,Carles,0603014030
Tabugon,Carles,0603014031
Talingting,Carles,0603014032
Tarong,Carles,0603014033
Tinigban,Carles,0603014034
Tupaz,Carles,0603014035
Aglosong,Concepcion,0603015002
Agnaga,Concepcion,0603015003
Bacjawan Norte,Concepcion,0603015004
Bacjawan Sur,Concepcion,0603015005
Bagongon,Concepcion,0603015006
Batiti,Concepcion,0603015007
Botlog,Concepcion,0603015008
Calamigan,Concepcion,0603015009
Dungon,Concepcion,0603015010
Igbon,Concepcion,0603015011
Jamul-Awon,Concepcion,0603015012
Lo-ong,Concepcion,0603015013
Macalbang,Concepcion,0603015014
Macatunao,Concepcion,0603015015
Malangabang,Concepcion,0603015016
Maliogliog,Concepcion,0603015017
Nipa,Concepcion,0603015019
Niño,Concepcion,0603015018
Plandico,Concepcion,0603015021
Poblacion,Concepcion,0603015022
Polopina,Concepcion,0603015023
Salvacion,Concepcion,0603015024
Talotu-an,Concepcion,0603015025
Tambaliza,Concepcion,0603015026
Tamis-ac,Concepcion,0603015027
Abangay,Dingle,0603016001
Agsalanan,Dingle,0603016002
Agtatacay,Dingle,0603016003
Alegria,Dingle,0603016004
Bongloy,Dingle,0603016005
Buenavista,Dingle,0603016006
Caguyuman,Dingle,0603016007
Calicuang,Dingle,0603016008
Camambugan,Dingle,0603016009
Dawis,Dingle,0603016011
Ginalinan Nuevo,Dingle,0603016012
Ginalinan Viejo,Dingle,0603016013
Gutao,Dingle,0603016014
Ilajas,Dingle,0603016015
Libo-o,Dingle,0603016016
Licu-an,Dingle,0603016017
Lincud,Dingle,0603016018
Matangharon,Dingle,0603016019
Moroboro,Dingle,0603016020
Namatay,Dingle,0603016021
Nazuni,Dingle,0603016022
Pandan,Dingle,0603016023
Poblacion,Dingle,0603016024
Potolan,Dingle,0603016025
San Jose,Dingle,0603016026
San Matias,Dingle,0603016027
Siniba-an,Dingle,0603016028
Tabugon,Dingle,0603016029
Tambunac,Dingle,0603016030
Tanghawan,Dingle,0603016031
Tiguib,Dingle,0603016032
Tinocuan,Dingle,0603016033
Tulatula-an,Dingle,0603016034
Agutayan,Dueñas,0603017001
Angare,Dueñas,0603017002
Anjawan,Dueñas,0603017003
Baac,Dueñas,0603017004
Bagongbong,Dueñas,0603017005
Balangigan,Dueñas,0603017006
Balingasag,Dueñas,0603017007
Banugan,Dueñas,0603017008
Batuan,Dueñas,0603017009
Bita,Dueñas,0603017010
Buenavista,Dueñas,0603017011
Bugtongan,Dueñas,0603017012
Cabudian,Dueñas,0603017013
Calaca-an,Dueñas,0603017014
Calang,Dueñas,0603017015
Calawinan,Dueñas,0603017016
Capaycapay,Dueñas,0603017017
Capuling,Dueñas,0603017018
Catig,Dueñas,0603017019
Dila-an,Dueñas,0603017020
Fundacion,Dueñas,0603017021
Inadlawan,Dueñas,0603017022
Jagdong,Dueñas,0603017023
Jaguimit,Dueñas,0603017024
Lacadon,Dueñas,0603017025
Luag,Dueñas,0603017026
Malusgod,Dueñas,0603017027
Maribuyong,Dueñas,0603017028
Minanga,Dueñas,0603017029
Monpon,Dueñas,0603017030
Navalas,Dueñas,0603017031
Pader,Dueñas,0603017032
Pandan,Dueñas,0603017033
Poblacion A,Dueñas,0603017048
Poblacion B,Dueñas,0603017049
Poblacion C,Dueñas,0603017050
Poblacion D,Dueñas,0603017051
Ponong Grande,Dueñas,0603017038
Ponong Pequeño,Dueñas,0603017039
Purog,Dueñas,0603017040
Romblon,Dueñas,0603017041
San Isidro,Dueñas,0603017042
Santo Niño,Dueñas,0603017043
Sawe,Dueñas,0603017044
Taminla,Dueñas,0603017045
Tinocuan,Dueñas,0603017046
Tipolo,Dueñas,0603017047
Aurora-del Pilar (Pob.),Dumangas,0603018046
Bacay,Dumangas,0603018002
Bacong,Dumangas,0603018003
Balabag,Dumangas,0603018004
Balud,Dumangas,0603018005
Bantud,Dumangas,0603018006
Bantud Fabrica,Dumangas,0603018007
Baras,Dumangas,0603018008
Barasan,Dumangas,0603018009
Basa-Mabini Bonifacio (Pob.),Dumangas,0603018049
Bolilao,Dumangas,0603018010
Buenaflor Embarkadero (Pob.),Dumangas,0603018047
Burgos-Regidor (Pob.),Dumangas,0603018045
Calao,Dumangas,0603018012
Cali,Dumangas,0603018013
Cansilayan,Dumangas,0603018014
Capaliz,Dumangas,0603018015
Cayos,Dumangas,0603018016
Compayan,Dumangas,0603018017
Dacutan,Dumangas,0603018018
Ermita,Dumangas,0603018019
Ilaya 1st,Dumangas,0603018021
Ilaya 2nd,Dumangas,0603018022
Ilaya 3rd,Dumangas,0603018023
Jardin,Dumangas,0603018025
Lacturan,Dumangas,0603018026
Lopez Jaena - Rizal (Pob.),Dumangas,0603018048
Managuit,Dumangas,0603018029
Maquina,Dumangas,0603018030
Nanding Lopez,Dumangas,0603018031
Pagdugue,Dumangas,0603018032
Paloc Bigque,Dumangas,0603018033
Paloc Sool,Dumangas,0603018034
Patlad,Dumangas,0603018035
Pd Monfort North,Dumangas,0603018028
Pd Monfort South,Dumangas,0603018020
Pulao,Dumangas,0603018036
Rosario,Dumangas,0603018037
Sapao,Dumangas,0603018038
Sulangan,Dumangas,0603018039
Tabucan,Dumangas,0603018040
Talusan,Dumangas,0603018041
Tambobo,Dumangas,0603018042
Tamboilan,Dumangas,0603018043
Victorias,Dumangas,0603018044
Bayas,Estancia,0603019002
Bayuyan,Estancia,0603019003
Botongon,Estancia,0603019004
Bulaqueña,Estancia,0603019005
Calapdan,Estancia,0603019006
Cano-an,Estancia,0603019007
Daan Banua,Estancia,0603019008
Daculan,Estancia,0603019009
Gogo,Estancia,0603019010
Jolog,Estancia,0603019011
Loguingot,Estancia,0603019012
Lonoy,Estancia,0603019018
Lumbia,Estancia,0603019001
Malbog,Estancia,0603019013
Manipulon,Estancia,0603019014
Pa-on,Estancia,0603019015
Poblacion Zone 1,Estancia,0603019017
Poblacion Zone II,Estancia,0603019024
Poblacion Zone III,Estancia,0603019025
San Roque,Estancia,0603019019
Santa Ana,Estancia,0603019020
Tabu-an,Estancia,0603019021
Tacbuyan,Estancia,0603019022
Tanza,Estancia,0603019023
Villa Pani-an,Estancia,0603019016
Anono-o,Guimbal,0603020001
Bacong,Guimbal,0603020002
Bagumbayan Pob.,Guimbal,0603020003
Balantad-Carlos Fruto (Pob.),Guimbal,0603020004
Baras,Guimbal,0603020005
Binanua-an,Guimbal,0603020006
Bongol San Miguel,Guimbal,0603020008
Bongol San Vicente,Guimbal,0603020009
Bulad,Guimbal,0603020010
Buluangan,Guimbal,0603020011
Burgos-Gengos (Pob.),Guimbal,0603020012
Cabasi,Guimbal,0603020013
Cabubugan,Guimbal,0603020014
Calampitao,Guimbal,0603020015
Camangahan,Guimbal,0603020016
Generosa-Cristobal Colon (Pob.),Guimbal,0603020017
Gerona-Gimeno (Pob.),Guimbal,0603020018
Girado-Magsaysay (Pob.),Guimbal,0603020019
Gotera (Pob.),Guimbal,0603020020
Igcocolo,Guimbal,0603020021
Iyasan,Guimbal,0603020032
Libo-on Gonzales (Pob.),Guimbal,0603020022
Lubacan,Guimbal,0603020023
Nahapay,Guimbal,0603020024
Nalundan,Guimbal,0603020025
Nanga,Guimbal,0603020026
Nito-an Lupsag,Guimbal,0603020027
Particion,Guimbal,0603020028
Pescadores (Pob.),Guimbal,0603020029
Rizal-Tuguisan (Pob.),Guimbal,0603020030
Santa Rosa-Laguna,Guimbal,0603020033
Sipitan-Badiang,Guimbal,0603020031
Torreblanca-Blumentritt (Pob.),Guimbal,0603020007
Alameda,Igbaras,0603021001
Amorogtong,Igbaras,0603021002
Anilawan,Igbaras,0603021003
Bagacay,Igbaras,0603021004
Bagacayan,Igbaras,0603021005
Bagay,Igbaras,0603021006
Balibagan,Igbaras,0603021007
Barangay 1 Poblacion,Igbaras,0603021033
Barangay 2 Poblacion,Igbaras,0603021034
Barangay 3 Poblacion,Igbaras,0603021035
Barangay 4 Poblacion,Igbaras,0603021036
Barangay 5 Poblacion,Igbaras,0603021037
Barangay 6 Poblacion,Igbaras,0603021038
Barasan,Igbaras,0603021008
Binanua-an,Igbaras,0603021009
Boclod,Igbaras,0603021010
Buenavista,Igbaras,0603021011
Buga,Igbaras,0603021012
Bugnay,Igbaras,0603021013
Calampitao,Igbaras,0603021014
Cale,Igbaras,0603021015
Catiringan,Igbaras,0603021017
Corucuan,Igbaras,0603021016
Igcabugao,Igbaras,0603021018
Igpigus,Igbaras,0603021019
Igtalongon,Igbaras,0603021020
Indaluyon,Igbaras,0603021021
Jovellar,Igbaras,0603021022
Kinagdan,Igbaras,0603021023
Lab-on,Igbaras,0603021024
Lacay Dol-Dol,Igbaras,0603021025
Lumangan,Igbaras,0603021026
Lutungan,Igbaras,0603021027
Mantangon,Igbaras,0603021028
Mulangan,Igbaras,0603021029
Pasong,Igbaras,0603021030
Passi,Igbaras,0603021031
Pinaopawan,Igbaras,0603021032
Riro-an,Igbaras,0603021039
San Ambrosio,Igbaras,0603021040
Santa Barbara,Igbaras,0603021041
Signe,Igbaras,0603021042
Tabiac,Igbaras,0603021043
Talayatay,Igbaras,0603021044
Taytay,Igbaras,0603021045
Tigbanaba,Igbaras,0603021046
Abeto Mirasol Taft South,Iloilo City,0631000178
Aguinaldo,Iloilo City,0631000003
Airport,Iloilo City,0631000004
Alalasan Lapuz,Iloilo City,0631000005
Arguelles,Iloilo City,0631000006
Arsenal Aduana,Iloilo City,0631000007
Bakhaw,Iloilo City,0631000009
Balabago,Iloilo City,0631000010
Balantang,Iloilo City,0631000011
Baldoza,Iloilo City,0631000012
Bantud,Iloilo City,0631000015
Banuyao,Iloilo City,0631000016
Baybay Tanza,Iloilo City,0631000017
Benedicto,Iloilo City,0631000018
Bito-on,Iloilo City,0631000019
Bolilao,Iloilo City,0631000021
Bonifacio,Iloilo City,0631000023
Bonifacio Tanza,Iloilo City,0631000022
Buhang,Iloilo City,0631000024
Buhang Taft North,Iloilo City,0631000025
Buntatala,Iloilo City,0631000026
Burgos-Mabini-Plaza,Iloilo City,0631000099
Caingin,Iloilo City,0631000029
Calahunan,Iloilo City,0631000030
Calaparan,Iloilo City,0631000031
Calubihan,Iloilo City,0631000078
Calumpang,Iloilo City,0631000032
Camalig,Iloilo City,0631000033
Cochero,Iloilo City,0631000035
Compania,Iloilo City,0631000036
Concepcion-Montes,Iloilo City,0631000038
Cuartero,Iloilo City,0631000040
Cubay,Iloilo City,0631000041
Danao,Iloilo City,0631000042
Delgado-Jalandoni-Bagumbayan,Iloilo City,0631000075
Democracia,Iloilo City,0631000044
Desamparados,Iloilo City,0631000045
Divinagracia,Iloilo City,0631000046
Don Esteban-Lapuz,Iloilo City,0631000047
Dulonan,Iloilo City,0631000048
Dungon,Iloilo City,0631000049
Dungon A,Iloilo City,0631000050
Dungon B,Iloilo City,0631000051
East Baluarte,Iloilo City,0631000052
East Timawa,Iloilo City,0631000053
Edganzon,Iloilo City,0631000054
El 98 Castilla,Iloilo City,0631000034
Fajardo,Iloilo City,0631000056
Flores,Iloilo City,0631000057
General Hughes-Montes,Iloilo City,0631000061
Gloria,Iloilo City,0631000062
Gustilo,Iloilo City,0631000063
Guzman-Jesena,Iloilo City,0631000064
Habog-habog Salvacion,Iloilo City,0631000065
Hibao-an Norte,Iloilo City,0631000152
Hibao-an Sur,Iloilo City,0631000067
Hinactacan,Iloilo City,0631000068
Hipodromo,Iloilo City,0631000069
Inday,Iloilo City,0631000070
Infante,Iloilo City,0631000071
Ingore,Iloilo City,0631000072
Jalandoni Estate-Lapuz,Iloilo City,0631000073
Jalandoni-Wilson,Iloilo City,0631000074
Javellana,Iloilo City,0631000076
Jereos,Iloilo City,0631000077
Kahirupan,Iloilo City,0631000197
Kasingkasing,Iloilo City,0631000079
Katilingban,Iloilo City,0631000080
Kauswagan,Iloilo City,0631000081
Laguda,Iloilo City,0631000085
Lanit,Iloilo City,0631000086
Lapuz Norte,Iloilo City,0631000087
Lapuz Sur,Iloilo City,0631000088
Legaspi dela Rama,Iloilo City,0631000089
Liberation,Iloilo City,0631000090
"Libertad, Santa Isabel",Iloilo City,0631000091
Libertad-Lapuz,Iloilo City,0631000092
Loboc-Lapuz,Iloilo City,0631000094
Lopez Jaena,Iloilo City,0631000093
Lopez Jaena Norte,Iloilo City,0631000095
Lopez Jaena Sur,Iloilo City,0631000096
Luna,Iloilo City,0631000097
Luna,Iloilo City,0631000198
M. V. Hechanova,Iloilo City,0631000098
Mabolo-Delgado,Iloilo City,0631000043
Macarthur,Iloilo City,0631000100
Magdalo,Iloilo City,0631000101
Magsaysay,Iloilo City,0631000102
Magsaysay Village,Iloilo City,0631000103
Malipayon-Delgado,Iloilo City,0631000104
Mansaya-Lapuz,Iloilo City,0631000105
Marcelo H. del Pilar,Iloilo City,0631000106
Maria Clara,Iloilo City,0631000107
Maria Cristina,Iloilo City,0631000108
